station_abbr;reference_timestamp;ths200dn;ths200dx;ths200d0;th9120dv;th91dndv;th91dxdv
BAS;01.01.1864 00:00;;;-2.4;-4.6;;
BAS;02.01.1864 00:00;;;-9.7;-11.9;;
BAS;03.01.1864 00:00;;;-11;-13.2;;
BAS;04.01.1864 00:00;;;-10.2;-12.4;;
BAS;05.01.1864 00:00;;;-10;-12.2;;
BAS;06.01.1864 00:00;;;-10.2;-12.4;;
BAS;07.01.1864 00:00;;;-9.7;-11.9;;
BAS;08.01.1864 00:00;;;-8.2;-10.4;;
BAS;09.01.1864 00:00;;;-7.1;-9.3;;
BAS;10.01.1864 00:00;;;-8.1;-10.3;;
BAS;11.01.1864 00:00;;;-8;-10.2;;
BAS;12.01.1864 00:00;;;-8.3;-10.5;;
BAS;13.01.1864 00:00;;;-9.7;-11.9;;
BAS;14.01.1864 00:00;;;-11.5;-13.7;;
BAS;15.01.1864 00:00;;;-11.4;-13.6;;
BAS;16.01.1864 00:00;;;-11.7;-13.9;;
BAS;17.01.1864 00:00;;;-9.2;-11.4;;
BAS;18.01.1864 00:00;;;-8.9;-11.1;;
BAS;19.01.1864 00:00;;;-6.1;-8.3;;
BAS;20.01.1864 00:00;;;-5.1;-7.3;;
BAS;21.01.1864 00:00;;;-4;-6.2;;
BAS;22.01.1864 00:00;;;-0.3;-2.5;;
BAS;23.01.1864 00:00;;;1.6;-0.6;;
BAS;24.01.1864 00:00;;;6.1;3.9;;
BAS;25.01.1864 00:00;;;1.8;-0.4;;
BAS;26.01.1864 00:00;;;0.4;-1.8;;
BAS;27.01.1864 00:00;;;2.7;0.5;;
BAS;28.01.1864 00:00;;;4.6;2.4;;
BAS;29.01.1864 00:00;;;1.4;-0.8;;
BAS;30.01.1864 00:00;;;-2.6;-4.8;;
BAS;31.01.1864 00:00;;;-4.9;-7.2;;
BAS;01.02.1864 00:00;;;-3.7;-6;;
BAS;02.02.1864 00:00;;;-2.5;-4.8;;
BAS;03.02.1864 00:00;;;-2;-4.3;;
BAS;04.02.1864 00:00;;;0.2;-2.2;;
BAS;05.02.1864 00:00;;;-0.8;-3.2;;
BAS;06.02.1864 00:00;;;-2.5;-4.9;;
BAS;07.02.1864 00:00;;;-3.8;-6.3;;
BAS;08.02.1864 00:00;;;-4.2;-6.7;;
BAS;09.02.1864 00:00;;;-4.7;-7.3;;
BAS;10.02.1864 00:00;;;-4.2;-6.9;;
BAS;11.02.1864 00:00;;;-5.2;-7.9;;
BAS;12.02.1864 00:00;;;-4.8;-7.6;;
BAS;13.02.1864 00:00;;;4.1;1.2;;
BAS;14.02.1864 00:00;;;4.5;1.6;;
BAS;15.02.1864 00:00;;;3.6;0.6;;
BAS;16.02.1864 00:00;;;7.8;4.7;;
BAS;17.02.1864 00:00;;;2.9;-0.3;;
BAS;18.02.1864 00:00;;;-1.4;-4.7;;
BAS;19.02.1864 00:00;;;-4.4;-7.8;;
BAS;20.02.1864 00:00;;;-4.5;-8;;
BAS;21.02.1864 00:00;;;-2.6;-6.2;;
BAS;22.02.1864 00:00;;;0.9;-2.8;;
BAS;23.02.1864 00:00;;;-0.7;-4.6;;
BAS;24.02.1864 00:00;;;3;-1;;
BAS;25.02.1864 00:00;;;4.2;0.1;;
BAS;26.02.1864 00:00;;;5.8;1.5;;
BAS;27.02.1864 00:00;;;4.5;0.1;;
BAS;28.02.1864 00:00;;;3.2;-1.4;;
BAS;29.02.1864 00:00;;;2.7;-2;;
BAS;01.03.1864 00:00;;;4.3;-0.7;;
BAS;02.03.1864 00:00;;;3.1;-2;;
BAS;03.03.1864 00:00;;;6.2;0.9;;
BAS;04.03.1864 00:00;;;8.2;2.8;;
BAS;05.03.1864 00:00;;;9.7;4.1;;
BAS;06.03.1864 00:00;;;8.5;2.8;;
BAS;07.03.1864 00:00;;;11.3;5.4;;
BAS;08.03.1864 00:00;;;10;4;;
BAS;09.03.1864 00:00;;;8.2;2.1;;
BAS;10.03.1864 00:00;;;4.8;-1.5;;
BAS;11.03.1864 00:00;;;4.8;-1.6;;
BAS;12.03.1864 00:00;;;6.1;-0.4;;
BAS;13.03.1864 00:00;;;3.1;-3.6;;
BAS;14.03.1864 00:00;;;4.2;-2.6;;
BAS;15.03.1864 00:00;;;7.2;0.3;;
BAS;16.03.1864 00:00;;;5;-2.1;;
BAS;17.03.1864 00:00;;;3;-4.2;;
BAS;18.03.1864 00:00;;;4.5;-2.8;;
BAS;19.03.1864 00:00;;;5.8;-1.6;;
BAS;20.03.1864 00:00;;;7.7;0.2;;
BAS;21.03.1864 00:00;;;8;0.3;;
BAS;22.03.1864 00:00;;;7.4;-0.4;;
