station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
SMA;01.01.1864 00:00;6.7;;;-3.1;;;;;;;;;;;649.9;59;;;;;;;;;;;;;;;;
SMA;01.01.1865 00:00;8.4;;;-1.4;;;;;;;;;;;668.2;60;;;;;;;;;;;;;;;;
SMA;01.01.1866 00:00;8.8;;;-1;;;;;;;;;;;1206.8;109;;;;;;;;;;;;;;;;
SMA;01.01.1867 00:00;8.1;;;-1.7;;;;;;;;;;;1301.9;118;;;;;;;;;;;;;;;;
SMA;01.01.1868 00:00;9.2;;;-0.6;;;;;;;;;;;856.1;77;;;;;;;;;;;;;;;;
SMA;01.01.1869 00:00;8.2;;;-1.6;;;;;;;;;;;975.1;88;;;;;;;;;;;;;;;;
SMA;01.01.1870 00:00;7.4;;;-2.4;;;;;;;;;;;812.9;73;;;;;;;;;;;;;;;;
SMA;01.01.1871 00:00;6.9;;;-2.9;;;;;;;;;;;772.3;70;;;;;;;;;;;;;;;;
SMA;01.01.1872 00:00;8.8;;;-1;;;;;;;;;;;1177.4;106;;;;;;;;;;;;;;;;
SMA;01.01.1873 00:00;8.4;;;-1.4;;;;;;;;;;;1043.8;94;;;;;;;;;;;;;;;;
SMA;01.01.1874 00:00;7.9;;;-1.9;;;;;;;;;;;884.3;80;;;;;;;;;;;;;;;;
SMA;01.01.1875 00:00;8;;;-1.8;;;;;;;;;;;1101.4;99;;;;;;;;;;;;;;;;
SMA;01.01.1876 00:00;8.3;;;-1.5;;;;;;;;;;;1605.3;145;;;;;;;;;;;;;;;;
SMA;01.01.1877 00:00;8.5;;;-1.3;;;;;;;;;;;933.2;84;;;;;;;;;;;;;;;;
SMA;01.01.1878 00:00;7.6;;;-2.2;;;;;;;;;;;1164;105;;;;;;;;;;;;;;;;
SMA;01.01.1879 00:00;6.5;;;-3.3;;;;;;;;;;;1011.1;91;;;;;;;;;;;;;;;;
